path,name,sha256,size_mb,pages,producer,creator,error
D:\Общая_Рабочая\2024\2 Этажа\ЭП\Жилой Дом Проба - ЭП.pdf,Жилой Дом Проба - ЭП.pdf,620b5b78547cf1c1,6.47,11,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.14),
D:\Общая_Рабочая\2024\LABPP Automat\LabPP_AutomatAC27RUS\Doc\LABPP_Automat ARCHICAD.pdf,LABPP_Automat ARCHICAD.pdf,31b4c1dc8a5a0b99,4.9,250,Synopse PDF engine 1.18.6295,HelpNDoc Professional Edition 7.7.0.519,
D:\Общая_Рабочая\2024\LABPP Automat\LabPP_AutomatAC27RUS\Doc\LABPP_BIM_Master.pdf,LABPP_BIM_Master.pdf,53104f78c441586b,3.66,34,Synopse PDF engine 1.18.6295,HelpNDoc Professional Edition 7.7.0.519,
D:\Общая_Рабочая\2024\LABPP Automat\LabPP_AutomatAC27RUS\tsprglist\Кассеты\Кассеты.pdf,Кассеты.pdf,fba9e12e47abcb7c,0.16,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\LABPP Automat\LabPP_AutomatAC27RUS\tsprglist\Кассеты\Тип 0.pdf,Тип 0.pdf,0e61c6202a63d887,0.16,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\LABPP Automat\LabPP_AutomatAC27RUS\tsprglist\Кассеты\Тип1 и 2.pdf,Тип1 и 2.pdf,2b540079110af224,0.16,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Lampi Бриллиант\Выход\Полы\Сборка полов\Баня Рязань - План сборки пола.pdf,Баня Рязань - План сборки пола.pdf,5fb214deba443067,0.26,3,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.24),
D:\Общая_Рабочая\2024\Акоп\Весь проект\КР Акоп.pdf,КР Акоп.pdf,ed2f4d2fde3ad204,6.3,61,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.31),
D:\Общая_Рабочая\2024\Анна Лесное Озеро\В1.pdf,В1.pdf,16f6391ba5616c5a,0.7,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Анна Лесное Озеро\В5.pdf,В5.pdf,a08cdb39d16dc845,0.73,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Анна Лесное Озеро\Вкрст2.pdf,Вкрст2.pdf,7a5d772308ea403e,0.73,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Аньялово\ПОЛ\Жилой Дом Аньялово - Полы.pdf,Жилой Дом Аньялово - Полы.pdf,3e140c312242e0ae,28.67,5,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.40),
D:\Общая_Рабочая\2024\Аньялово\Потолки\Жилой Дом Аньялово - Потолки.pdf,Жилой Дом Аньялово - Потолки.pdf,019fc71510c696df,0.63,5,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.40),
D:\Общая_Рабочая\2024\Аньялово\Стены\Жилой Дом Аньялово - Стены.pdf,Жилой Дом Аньялово - Стены.pdf,55c701d435a9d2ba,13.1,16,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.40),
D:\Общая_Рабочая\2024\Аньялово\Фунд\Жилой Дом Аньялово - Фундамент.pdf,Жилой Дом Аньялово - Фундамент.pdf,3d43bbcb68f3508e,1.04,6,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.40),
D:\Общая_Рабочая\2024\Бакшты\Кассеты\Бакшты  - Кассеты.pdf,Бакшты  - Кассеты.pdf,902f9b6c71326906,5.54,2,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.10),
D:\Общая_Рабочая\2024\Бакшты\Кассеты\Кассеты и планки для заказа - Бакшты.pdf,Кассеты и планки для заказа - Бакшты.pdf,2b1886282c51ee0c,1.25,3,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.15),
D:\Общая_Рабочая\2024\Бакшты\Кассеты\Кассеты.pdf,Кассеты.pdf,534782ddf9665f74,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Бакшты\Кассеты\Тип 0.pdf,Тип 0.pdf,3b340483eead63b2,0.4,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Бакшты\Кассеты\Тип 1 и тип 2.pdf,Тип 1 и тип 2.pdf,5e82f52b5db16e4b,0.4,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Бакшты\Новая папка\Бакшты - Стены.pdf,Бакшты - Стены.pdf,7f3a2c5819307f29,7.89,36,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.13),
D:\Общая_Рабочая\2024\Бакшты\Пол\Бакшты - Пол.pdf,Бакшты - Пол.pdf,b4d55a278ac94c9f,1.91,9,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.13),
D:\Общая_Рабочая\2024\Бакшты\Потолок\1.pdf,1.pdf,a7ec46773ffdd784,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Бакшты\Потолок\Дом Бакшты - Потолки.pdf,Дом Бакшты - Потолки.pdf,49355c3949e63758,1.04,8,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.13),
D:\Общая_Рабочая\2024\Бакшты\Проектная документация Бакшты.pdf,Проектная документация Бакшты.pdf,968c306949353da2,9.13,67,"PDFTron PDFNet, V9.20793",Adobe Acrobat Pro (64-bit) 23.1.20143,
D:\Общая_Рабочая\2024\Бакшты\СПЕЦ\Пол\111.pdf,111.pdf,bf0f37e1cf8853b2,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Бакшты\СПЕЦ\Стены\111.pdf,111.pdf,b44f9a4a94fe7f0a,0.4,4,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Бакшты\Стены\1.pdf,1.pdf,302409628ba44596,0.93,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Бакшты\Стены\План Бакшты.pdf,План Бакшты.pdf,2da7b546770b1d8c,0.54,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Баня Байкал\1.pdf,1.pdf,30aca8db130aaa4f,0.98,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Баня Байкал\~$1.pdf,~$1.pdf,,0.0,0,,,Failed to open file 'D:\\Общая_Рабочая\\2024\\Баня Байкал\\~$1.pdf'.
